tip_label;tip label;WJetzID;Feng;IOCOrder;PrumOrder;in_final_set;in_bioclim;region;old_set_check;English;family;order;taxogroup;PassNonPass;devo_mode;devo_mode_full;egg_mass;weight;rel_brain;brain;time_fed;clutch_size;caretakers;longevity;longevity_c;social_bonds;fam_sys;fam_sys_s;food_energy;food_h_level;fibres;foraging_3;move_max;insularity;colonial;empty_col1;longevity_c;clutch_size_c;weight_c;time_fed_c;gs_small;gs_large;grouping
Pandion_haliaetus;Pandion haliaetus;4562;Pandion_haliaetus;Accipitriformes;Accipitriformes;YES;YES;Widespread: W-PA, SAfrica;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;72;1400;;9.71768;115;3;2;32;;c-long;;;107.0608;3;0.4;aground_gen;migratory;continental;colonial;;;;;;;;asocial
Aviceda_subcristata;Aviceda subcristata;4581;Aviceda_subcristata;Accipitriformes;Accipitriformes;YES;YES;Australia;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;29;337.5;;4.8692;55.5;3;2;NA;;c-long;;;176.14;2.5;2.22;aground_gen;sedentary;continental;acolonial;;;;;;;;asocial
Aviceda_leuphotes;Aviceda leuphotes;4582;NA;NA;NA;NO;NO;Indomalayan;;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;NA;196;;3.4;NA;2;2;NA;;c-long;;;181.97;2.3;1.94;aground_gen;migratory;continental;acolonial;;;;;;;;NA
Chondrohierax_uncinatus;Chondrohierax uncinatus;4585;Chondrohierax_uncinatus;Accipitriformes;Accipitriformes;NO;NO;Neotropical;;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;48.8;280.25;;4.17508;NA;2;2;NA;;c-long;;;179.08;2.2;2.16;aground_gen;sedentary;continental;acolonial;;;;;;;;NA
Pernis_apivorus;Pernis apivorus;4591;Pernis_apivorus;Accipitriformes;Accipitriformes;YES;YES;Western Palearctic;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;49;745;;7.2;142;2;2;29;;b-season;;;179.08;2.2;2.16;aground_gen;migratory;continental;acolonial;;;;;;;;asocial
Lophoictinia_isura;Lophoictinia isura;4601;Lophoictinia_isura;Accipitriformes;Accipitriformes;YES;YES;Australia;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;41.651;590.5;;6.734;110;3;2;17;;c-long;;;196.42;2.8;0.84;aground_gen;migratory;continental;acolonial;;;;;;;;asocial
Hamirostra_melanosternon;Hamirostra melanosternon;4602;Hamirostra_melanosternon;Accipitriformes;Accipitriformes;YES;YES;Australia;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;66.606;1300;;10.7226;130;2;2;NA;;c-long;;;192.176;2.5;1.62;aground_gen;migratory;continental;acolonial;;;;;;;;small_groups
Elanus_axillaris;Elanus axillaris;4609;Elanus_axillaris;Accipitriformes;Accipitriformes;YES;YES;Australia;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;23.87406608;273;;3.49132;65;3;2;NA;;c-long;;;199.31;2.9;0.62;aground_gen;migratory;continental;colonial;;;;;;;;asocial
Rostrhamus_sociabilis;Rostrhamus sociabilis;4614;Rostrhamus_sociabilis;Accipitriformes;Accipitriformes;YES;YES;Neotropical;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;32;376.5;;5.27324;48.5;3;2;17;;c-long;;;173.3;2;2.6;aground_gen;migratory;continental;colonial;;;;;;;;large_groups
Harpagus_bidentatus;Harpagus bidentatus;4616;NA;NA;NA;NO;NO;Neotropical;;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;NA;198.5;;3.96788;NA;2;2;NA;;b-season;;;179.08;2.2;2.16;aground_gen;sedentary;continental;acolonial;;;;;;;;NA
